BlSpn_[m],BlTwist_[deg],BlChord_[m]
0.0,38.96,9.42
3.67,31.81,12.14
7.35,25.81,12.85
11.02,20.93,12.56
14.69,17.0,11.84
18.37,13.83,11.0
22.04,11.25,10.16
25.71,9.14,9.38
29.39,7.37,8.67
33.06,5.89,8.04
36.73,4.63,7.48
40.41,3.55,6.99
44.08,2.61,6.55
47.76,1.79,6.16
51.43,1.06,5.8
55.1,0.42,5.49
58.78,-0.15,5.2
62.45,-0.67,4.94
66.12,-1.13,4.71
69.8,-1.55,4.49
73.47,-1.94,4.3
77.14,-2.29,4.12
80.82,-2.61,3.95
84.49,-2.9,3.79
88.16,-3.18,3.65
91.84,-3.43,3.52
95.51,-3.67,3.4
99.18,-3.89,3.28
102.86,-4.09,3.17
106.53,-4.28,3.07
110.2,-4.46,2.98
113.88,-4.63,2.89
117.55,-4.79,2.8
121.22,-4.94,2.72
124.9,-5.08,2.65
128.57,-5.22,2.58
132.24,-5.34,2.51
135.92,-5.46,2.44
139.59,-5.58,2.38
143.27,-5.69,2.32
146.94,-5.79,2.26
150.61,-5.89,2.19
154.29,-5.98,2.13
157.96,-6.07,2.05
161.63,-6.16,1.96
165.31,-6.24,1.85
168.98,-6.32,1.7
172.65,-6.39,1.47
176.33,-6.47,1.11
180.0,-6.54,0.1
