Alpha [deg]  , C_l_[-]      , C_d_[-]     , C_m_[-]
-180.00 , 0.0     , 0.05   , 0.0
-177.71 , 0.0352  , 0.05   , 0.0914
-175.42 , 0.0705  , 0.05   , 0.1828
-173.14 , 0.1057  , 0.05   , 0.2742
-170.85 , 0.1410  , 0.05   , 0.3657
-168.57 , 0.1763  , 0.05   , 0.3799
-166.28 , 0.2115  , 0.05   , 0.3479
-163.99 , 0.2468  , 0.05   , 0.3158
-161.71 , 0.2820  , 0.0555 , 0.2838
-159.42 , 0.3173  , 0.0826 , 0.2634
-157.14 , 0.3526  , 0.1259 , 0.2781
-154.85 , 0.3878  , 0.1711 , 0.2928
-152.57 , 0.4231  , 0.2215 , 0.3075
-150.28 , 0.4584  , 0.2734 , 0.3222
-148.00 , 0.4936  , 0.3288 , 0.3336
-143.85 , 0.5178  , 0.433  , 0.3534
-139.71 , 0.5323  , 0.5439 , 0.3730
-135.57 , 0.5365  , 0.6569 , 0.3898
-131.42 , 0.5303  , 0.7701 , 0.4067
-127.28 , 0.5134  , 0.8833 , 0.4216
-123.14 , 0.4864  , 0.9911 , 0.4356
-119.00 , 0.4495  , 1.0943 , 0.4483
-114.85 , 0.4036  , 1.1881 , 0.4569
-110.71 , 0.3495  , 1.2739 , 0.4655
-106.57 , 0.2883  , 1.3466 , 0.4681
-102.42 , 0.2214  , 1.406  , 0.4694
-98.285 , 0.1500  , 1.4537 , 0.4675
-94.142 , 0.0757  , 1.4841 , 0.4611
-90.000 , 0.0000  , 1.5    , 0.4547
-85.857 , -0.0751 , 1.4841 , 0.4366
-81.714 , -0.1503 , 1.4537 , 0.4185
-77.571 , -0.221  , 1.406  , 0.3973
-73.428 , -0.2886 , 1.3466 , 0.3741
-69.285 , -0.3495 , 1.2739 , 0.3503
-65.142 , -0.403  , 1.1881 , 0.3238
-61.000 , -0.4499 , 1.0943 , 0.2974
-56.857 , -0.4863 , 0.9911 , 0.2705
-52.714 , -0.5139 , 0.8833 , 0.2434
-48.571 , -0.5309 , 0.7701 , 0.2168
-44.428 , -0.5363 , 0.6569 , 0.1910
-40.285 , -0.5327 , 0.5439 , 0.1652
-36.142 , -0.5175 , 0.433  , 0.1093
-32.000 , -0.4134 , 0.307  , 0.0513
-28.000 , -0.6138 , 0.2836 , 0.0572
-23.999 , -1.0564 , 0.1358 , 0.0085
-19.999 , -1.1358 , 0.0798 , -0.012
-17.999 , -1.2082 , 0.064  , -0.009
-15.999 , -1.1822 , 0.0475 , -0.012
-13.999 , -1.1609 , 0.0344 , -0.013
-11.999 , -1.0979 , 0.0217 , -0.022
-9.9999 , -0.887  , 0.013  , -0.042
-7.9999 , -0.6357 , 0.0107 , -0.056
-5.9999 , -0.3825 , 0.0087 , -0.066
-3.9999 , -0.1267 , 0.0068 , -0.076
-1.9999 , 0.1228  , 0.0067 , -0.082
-1.0000 , 0.2466  , 0.0066 , -0.085
0.0     , 0.3700  , 0.0062 , -0.087
1.00000 , 0.4929  , 0.0063 , -0.089
1.99999 , 0.6149  , 0.0063 , -0.092
3.00000 , 0.7364  , 0.0077 , -0.094
3.99999 , 0.8568  , 0.007  , -0.096
5.00000 , 0.9756  , 0.0077 , -0.097
5.99999 , 1.0908  , 0.0084 , -0.099
7.00000 , 1.2029  , 0.0094 , -0.100
7.99999 , 1.3104  , 0.0107 , -0.100
9.00000 , 1.4142  , 0.0125 , -0.101
11.0000 , 1.6085  , 0.0154 , -0.100
11.9999 , 1.6961  , 0.0177 , -0.099
13.0000 , 1.7693  , 0.0195 , -0.097
13.9999 , 1.8197  , 0.0248 , -0.094
15.0000 , 1.8344  , 0.0317 , -0.092
15.9999 , 1.7986  , 0.0425 , -0.089
17.9999 , 1.6392  , 0.0759 , -0.088
19.9999 , 1.5349  , 0.1093 , -0.094
